Date,Volume
1409221111000,449
1409221119000,453
1409221132000,457
1409221152000,471
1409221160000,448
1409221170000,448
1409221181000,452
1409221190000,447
1409221201000,447
1409221210000,452
1409221223000,451
1409221233000,451
1409221241000,472
1409221251000,457
1409221261000,457
1409221282000,468
1409221290000,468
1409221302000,459
1409221310000,459
1409221321000,459
1409221331000,467
1409221341000,457
1409221351000,457
1409221361000,462
1409221370000,464
1409221383000,464
1409221390000,470
1409221401000,487
1409221411000,487
1409221420000,462
1409221431000,468
1409221449000,488
1409221459000,680
1409221470000,680
1409221479000,667
1409221493000,653
1409221501000,653
1409221510000,637
1409221521000,636
1409221531000,636
1409221542000,623
1409221551000,619
1409221559000,619
1409221570000,626
1409221583000,622
1409221594000,622
1409221600000,631
1409221620000,635
1409221632000,625
1409221639000,619
1409221650000,619
1409221663000,623
1409221671000,630
1409221680000,630
1409221689000,625
1409221700000,628
1409221710000,628
1409221724000,626
1409221729000,625
1409221742000,625
1409221752000,623
1409221773000,627
1409221780000,624
1409221795000,637
1409221802000,637
1409221809000,621
1409221820000,626
1409221834000,626
1409221840000,629
1409221851000,624
1409221860000,624
1409221869000,626
1409221883000,625
1409221892000,625
1409221902000,630
1409221921000,636
1409221931000,628
1409221940000,620
1409221951000,620
1409221962000,625
1409221971000,622
1409221981000,622
1409221994000,621
1409222001000,622
1409222009000,622
1409222020000,621
1409222032000,627
1409222040000,627
1409222050000,623
1409222063000,620
1409222072000,620
1409222091000,623
1409222099000,623
1409222110000,627
1409222121000,615
1409222130000,615
1409222141000,627
1409222151000,614
1409222160000,614
1409222172000,618
1409222182000,616
1409222190000,616
1409222206000,617
1409222212000,612
1409222225000,612
1409222240000,614
1409222253000,614
1409222261000,618
1409222272000,616
1409222282000,616
1409222291000,618
1409222303000,613
1409222313000,613
1409222322000,617
1409222332000,619
1409222343000,619
1409222352000,619
1409222362000,622
1409222371000,622
1409222393000,616
1409222401000,616
1409222412000,618
1409222420000,619
1409222430000,619
1409222442000,619
1409222451000,619
1409222461000,619
1409222471000,818
1409222481000,816
1409222491000,816
1409222501000,819
1409222512000,819
1409222521000,819
1409222542000,821
1409222551000,821
1409222561000,818
1409222572000,833
1409222586000,833
1409222589000,821
1409222601000,830
1409222613000,830
1409222624000,827
1409222632000,729
1409222642000,729
1409222652000,631
1409222662000,634
1409222671000,634
1409222684000,633
1409222690000,632
1409222712000,632
1409222725000,624
1409222730000,624
1409222740000,625
1409222751000,623
1409222765000,623
1409222772000,627
1409222783000,673
1409222793000,673
1409222801000,632
1409222820000,631
1409222831000,623
1409222840000,621
1409222854000,621
1409222864000,623
1409222870000,621
1409222881000,621
1409222894000,630
1409222902000,629
1409222912000,629
1409222921000,613
1409222930000,613
1409222941000,613
1409222950000,611
1409222971000,613
1409222983000,615
1409222989000,615
1409223000000,615
1409223012000,614
1409223021000,612
1409223031000,612
1409223040000,613
1409223051000,614
1409223062000,614
1409223072000,613
1409223081000,610
1409223102000,615
1409223111000,616
1409223123000,616
1409223131000,616
1409223143000,616
1409223152000,616
1409223162000,612
1409223172000,642
1409223183000,642
1409223191000,645
1409223201000,643
1409223211000,643
1409223231000,646
1409223243000,646
1409223250000,628
1409223261000,623
1409223274000,623
1409223282000,621
1409223291000,621
1409223300000,621
1409223312000,624
1409223322000,624
1409223331000,624
1409223341000,626
1409223353000,622
1409223360000,622
1409223374000,625
1409223382000,622
1409223400000,621
1409223411000,620
1409223420000,620
1409223432000,625
1409223443000,474
1409223451000,474
1409223462000,481
1409223471000,493
1409223482000,493
1409223490000,472
1409223505000,475
1409223512000,475
1409223521000,466
1409223534000,474
1409223551000,466
1409223574000,473
1409223583000,474
1409223591000,471
1409223601000,471
1409223610000,474
1409223619000,469
1409223633000,469
1409223641000,468
1409223651000,473
1409223661000,473
1409223673000,473
1409223683000,469
1409223700000,470
1409223711000,469
1409223722000,469
1409223733000,470
1409223741000,466
1409223754000,466
1409223763000,464
1409223771000,461
1409223782000,461
1409223791000,452
1409223805000,452
1409223813000,452
1409223824000,452
1409223833000,451
1409223852000,457
1409223863000,454
